STATION,DATE,TMAX,TMIN,AWND,PRCP
USW00093821,2019-01-01,54,42,6.04,0
USW00093821,2019-01-02,45,40,6.93,0
USW00093821,2019-01-03,45,37,4.03,0
USW00093821,2019-01-04,47,37,5.82,0.68
USW00093821,2019-01-05,57,36,7.83,0
USW00093821,2019-01-06,59,36,3.58,0
USW00093821,2019-01-07,65,48,12.3,0
USW00093821,2019-01-08,67,44,15.21,0
USW00093821,2019-01-09,44,26,16.78,0
USW00093821,2019-01-10,34,24,6.93,0
USW00093821,2019-01-11,37,23,5.37,0.03
USW00093821,2019-01-12,40,31,6.04,0.32
USW00093821,2019-01-13,39,33,8.72,0.15
USW00093821,2019-01-14,37,28,6.93,0
USW00093821,2019-01-15,36,28,7.38,0
USW00093821,2019-01-16,41,36,6.04,0
USW00093821,2019-01-17,46,40,7.38,0.14
USW00093821,2019-01-18,42,38,5.82,0
USW00093821,2019-01-19,48,25,11.86,0.88
USW00093821,2019-01-20,26,15,14.32,0.07
USW00093821,2019-01-21,24,11,5.37,0
USW00093821,2019-01-22,49,20,10.51,0
USW00093821,2019-01-23,54,31,14.54,0.86
USW00093821,2019-01-24,36,25,13.2,0
USW00093821,2019-01-25,28,14,8.95,0
USW00093821,2019-01-26,42,25,9.17,0
USW00093821,2019-01-27,43,28,7.38,0
USW00093821,2019-01-28,53,26,11.18,0.04
USW00093821,2019-01-29,26,15,14.32,0.03
USW00093821,2019-01-30,22,3,11.63,0.02
USW00093821,2019-01-31,25,5,4.03,0
USW00093821,2019-02-01,40,25,3.36,0.02
USW00093821,2019-02-02,59,29,3.58,0
USW00093821,2019-02-03,70,40,5.37,0
USW00093821,2019-02-04,61,46,8.72,0.07
USW00093821,2019-02-05,61,48,4.92,0.07
USW00093821,2019-02-06,65,51,5.82,0.45
USW00093821,2019-02-07,70,36,12.53,1.41
USW00093821,2019-02-08,36,20,13.42,0
USW00093821,2019-02-09,36,18,8.05,0
USW00093821,2019-02-10,43,26,4.92,0.26
USW00093821,2019-02-11,51,42,4.25,1.54
USW00093821,2019-02-12,58,35,14.99,1.23
USW00093821,2019-02-13,44,29,13.42,0
USW00093821,2019-02-14,61,37,13.42,0
USW00093821,2019-02-15,56,31,10.96,0.01
USW00093821,2019-02-16,43,28,9.62,0
USW00093821,2019-02-17,41,32,6.71,0
USW00093821,2019-02-18,38,30,11.41,0
USW00093821,2019-02-19,39,28,8.05,0.04
USW00093821,2019-02-20,54,34,10.07,2.02
USW00093821,2019-02-21,48,35,3.36,0
USW00093821,2019-02-22,47,41,8.5,0
USW00093821,2019-02-23,62,42,7.61,1.11
USW00093821,2019-02-24,63,36,21.92,0.02
